disease,diseaseClass,genes
Leukemia,Neoplasms,EDNRB
Carcinoma-Renal Cell, Urogenital,EDNRB
Sarcoma-Kaposi,Virus ; Neoplasms,EDNRB
Wounds and Injuries,Wounds and Injuries,EDNRB
Death,Pathological Conditions,EDNRB
Heart Failure,Cardiovascular ,EDNRB
Asthma,Respiratory Tract ; Immune System ,EDNRB
Myocardial Ischemia,Cardiovascular ,EDNRB
Polycystic Kidney-Autosomal Dominant,Urogenital,EDNRB
Ganglion Cysts, Skin and Connective Tissue ,EDNRB
Vitreoretinopathy-Proliferative,Eye ,EDNRB
Oligodendroglioma,Neoplasms,EDNRB
Airway Obstruction,Respiratory Tract ,EDNRB
OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE,Musculoskeletal ; Pathological Conditions,ENPP1
ARTERIAL CALCIFICATION-GENERALIZED-OF INFANCY,Nutritional and Metabolic ,ENPP1
HYPOPHOSPHATEMIC RICKETS-AUTOSOMAL RECESSIVE-2,Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ; Musculoskeletal ,ENPP1
Obesity,Nutritional and Metabolic ; Pathological Conditions,ENPP1
Ossification of Posterior Longitudinal Ligament,Musculoskeletal ; Pathological Conditions,ENPP1
Albuminuria,Urogenital; Pathological Conditions,ENPP1
Myocardial Infarction,Cardiovascular ,ENPP1
Atherosclerosis,Cardiovascular ,ENPP1
Insulin Resistance,Nutritional and Metabolic ,ENPP1
Osteoarthritis,Musculoskeletal ,ENPP1
Hyperlipidemias,Nutritional and Metabolic ,ENPP1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ENPP1
Diabetic Nephropathies,Urogenital; Endocrine System ,ENPP1
Kidney Failure-Chronic,Urogenital,ENPP1
Proteinuria,Urogenital; Pathological Conditions,ENPP1
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ENPP1
Disease Progression,Pathological Conditions,ENPP1
Hypertension,Cardiovascular ,ENPP1
Obesity-Morbid,Nutritional and Metabolic ; Pathological Conditions,ENPP1
Coronary Disease,Cardiovascular ,ENPP1
Metabolic Diseases,Nutritional and Metabolic ,ENPP1
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,ENPP1
Spondylarthropathies,Musculoskeletal ,ENPP1
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,ENPP1
Pre-Eclampsia,Female Urogenital,ENPP1
Glucose Intolerance,Nutritional and Metabolic ,ENPP1
Hyperglycemia,Nutritional and Metabolic ,ENPP1
Hepatitis C,Virus ; Digestive System ,ENPP1
Peripheral Vascular Diseases,Cardiovascular ,ENPP1
Viremia,Virus ; Pathological Conditions,ENPP1
Insulin Resistance,Nutritional and Metabolic ,GCGR
Hypertension,Cardiovascular ,GCGR
MATURITY-ONSET DIABETES OF THE YOUNG-TYPE 2,Nutritional and Metabolic ; Endocrine System ,GCK
HYPERINSULINEMIC HYPOGLYCEMIA-FAMILIAL-3,Nutritional and Metabolic ,GCK
DIABETES MELLITUS-PERMANENT NEONATAL,Nutritional and Metabolic ; Endocrine System ,GCK
Hyperglycemia,Nutritional and Metabolic ,GCK
Liver Cirrhosis-Experimental,Digestive System ,GCK
MATURITY-ONSET DIABETES OF THE YOUNG,Nutritional and Metabolic ; Endocrine System ,GCK
Persistent Hyperinsulinemia Hypoglycemia of Infancy,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,GCK
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,GCK
Coronary Disease,Cardiovascular ,GCK
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,GCK
Hypertension,Cardiovascular ,GCK
Glucose Intolerance,Nutritional and Metabolic ,GCK
Insulin Resistance,Nutritional and Metabolic ,GCK
Obesity,Nutritional and Metabolic ; Pathological Conditions,GCK
HYPERINSULINEMIC HYPOGLYCEMIA-FAMILIAL-2,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,GCK
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,GCK
Hyperinsulinism,Nutritional and Metabolic ,GCK
Hypoglycemia,Nutritional and Metabolic ,GCK
Glucose Metabolism Disorders,Nutritional and Metabolic ,GCK
Hypertriglyceridemia,Nutritional and Metabolic ,GCKR
Gout,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,GCKR
Coronary Disease,Cardiovascular ,GCKR
Dyslipidemias,Nutritional and Metabolic ,GCKR
Syndrome,Pathological Conditions,GCKR
Insulin Resistance,Nutritional and Metabolic ,GCKR
Inflammation,Pathological Conditions,GCKR
Metabolic Syndrome X,Nutritional and Metabolic ,GCKR
Myocardial Infarction,Cardiovascular ,GCKR
Stroke,Nervous System ; Cardiovascular ,GCKR
Coronary Artery Disease,Cardiovascular ,GCKR
Cardiovascular Diseases,Cardiovascular ,GCKR
DIABETES MELLITUS-NEONATAL-WITH CONGENITAL HYPOTHYROIDISM,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ; Nutritional and Metabolic ,GLIS3
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,GLIS3
Coronary Artery Disease,Cardiovascular ,GNB3
Hypertension,Cardiovascular ,GNB3
HYPERTENSION-ESSENTIAL,Cardiovascular ,GNB3
Obesity,Nutritional and Metabolic ; Pathological Conditions,GNB3
Seizures,Nervous System ; Pathological Conditions,GNB3
Weight Gain,Pathological Conditions,GNB3
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,GNB3
Brain Ischemia,Nervous System ; Cardiovascular ,GNB3
Stroke,Nervous System ; Cardiovascular ,GNB3
Cardiovascular Diseases,Cardiovascular ,GNB3
Arteriosclerosis,Cardiovascular ,GNB3
Coronary Disease,Cardiovascular ,GNB3
Depressive Disorder-Major,Mental Disorders,GNB3
Insulin Resistance,Nutritional and Metabolic ,GNB3
Vascular Diseases,Cardiovascular ,GNB3
Hypertrophy,Pathological Conditions,GNB3
Myocardial Infarction,Cardiovascular ,GNB3
Coronary Vasospasm,Cardiovascular ,GNB3
Kidney Failure-Chronic,Urogenital,GNB3
Seasonal Affective Disorder,Mental Disorders,GNB3
Depressive Disorder,Mental Disorders,GNB3
Heart Diseases,Cardiovascular ,GNB3
Carotid Artery Diseases,Nervous System ; Cardiovascular ,GNB3
Mood Disorders,Mental Disorders,GNB3
Bipolar Disorder,Mental Disorders,GNB3
Schizophrenia,Mental Disorders,GNB3
Limb Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,GNB3
Inflammation,Pathological Conditions,GNB3
Dyspepsia,Pathological Conditions,GNB3
Irritable Bowel Syndrome,Digestive System ,GNB3
Gastroesophageal Reflux,Digestive System ,GNB3
Neoplasm Metastasis, Pathological Conditions,GNB3
Breast Neoplasms, Skin and Connective Tissue ,GNB3
Alzheimer Disease,Nervous System ; Mental Disorders,GNB3
Neoplasms,Neoplasms,GNB3
Erectile Dysfunction,Male Urogenital ; Mental Disorders,GNB3
HELLP Syndrome,Female Urogenital,GNB3
Hepatitis,Digestive System ,GNB3
Cluster Headache,Nervous System ,GNB3
Glomerulonephritis-IGA,Urogenital; Immune System ,GNB3
Vesico-Ureteral Reflux,Urogenital,GNB3
Hypotension-Orthostatic,Nervous System ; Cardiovascular ,GNB3
Syncope-Vasovagal,Nervous System ; Pathological Conditions,GNB3
Sudden Infant Death,Pathological Conditions,GNB3
CITRULLINEMIA-TYPE II-NEONATAL-ONSET,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,GPD2
Prostatic Neoplasms, Male Urogenital ,GPD2
Weight Gain,Pathological Conditions,GRB14
Acute Kidney Injury,Urogenital,HMOX1
Alzheimer Disease,Nervous System ; Mental Disorders,HMOX1
Anemia-Hemolytic,Hemic and Lymphatic ,HMOX1
Asthma,Respiratory Tract ; Immune System ,HMOX1
Blood Coagulation Disorders,Hemic and Lymphatic ,HMOX1
Breast Neoplasms, Skin and Connective Tissue ,HMOX1
Carotid Artery Diseases,Nervous System ; Cardiovascular ,HMOX1
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,HMOX1
Colitis,Digestive System ,HMOX1
Coronary Artery Disease,Cardiovascular ,HMOX1
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,HMOX1
Drug Toxicity,Substance-Related Disorders,HMOX1
Fibrosis,Pathological Conditions,HMOX1
Growth Disorders,Pathological Conditions,HMOX1
Hepatitis,Digestive System ,HMOX1
Hyperplasia,Pathological Conditions,HMOX1
Inflammation,Pathological Conditions,HMOX1
Iron Metabolism Disorders,Nutritional and Metabolic ,HMOX1
Liver Cirrhosis-Experimental,Digestive System ,HMOX1
Liver Diseases,Digestive System ,HMOX1
Liver Neoplasms, Digestive System ,HMOX1
Lung Injury,Respiratory Tract ; Wounds and Injuries,HMOX1
Lung Neoplasms, Respiratory Tract ,HMOX1
Mammary Neoplasms-Experimental,Neoplasms,HMOX1
Mastocytosis-Systemic,Neoplasms,HMOX1
Pancreatic Diseases,Digestive System ,HMOX1
Pneumonia,Respiratory Tract ,HMOX1
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,HMOX1
Pulmonary Emphysema,Respiratory Tract ,HMOX1
Pulmonary Fibrosis,Respiratory Tract ,HMOX1
Status Epilepticus,Nervous System ,HMOX1
Stomach Neoplasms, Digestive System ,HMOX1
Vascular System Injuries,Cardiovascular ; Wounds and Injuries,HMOX1
Wounds and Injuries,Wounds and Injuries,HMOX1
Hypertension,Cardiovascular ,HMOX1
Coronary Restenosis,Cardiovascular ,HMOX1
Myocardial Ischemia,Cardiovascular ,HMOX1
Carcinoma-Squamous Cell,Neoplasms,HMOX1
Mouth Neoplasms, Stomatognathic ,HMOX1
Adenocarcinoma,Neoplasms,HMOX1
Neoplasms-Squamous Cell,Neoplasms,HMOX1
Abortion-Habitual,Female Urogenital,HMOX1
Arterial Occlusive Diseases,Cardiovascular ,HMOX1
Constriction-Pathologic,Pathological Conditions,HMOX1
Coronary Disease,Cardiovascular ,HMOX1
Aortic Aneurysm-Abdominal,Cardiovascular ,HMOX1
Arteriosclerosis,Cardiovascular ,HMOX1
Peripheral Vascular Diseases,Cardiovascular ,HMOX1
Malaria-Cerebral,Parasitic ; Nervous System ,HMOX1
Malaria-Falciparum,Parasitic ,HMOX1
Lung Diseases,Respiratory Tract ,HMOX1
Neoplasm Invasiveness, Pathological Conditions,HMOX1
Lymphatic Metastasis, Pathological Conditions,HMOX1
Melanoma,Neoplasms,HMOX1
Skin Neoplasms, Skin and Connective Tissue ,HMOX1
HEMOCHROMATOSIS,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,HMOX1
Carcinoma,Neoplasms,HMOX1
Neoplasm Metastasis, Pathological Conditions,HMOX1
Vascular Diseases,Cardiovascular ,HMOX1
Hepatitis B,Virus ; Digestive System ,HMOX1
Colorectal Neoplasms, Digestive System ,HMOX1
Pancreatic Neoplasms, Digestive System ; Endocrine System ,HMOX1
Carcinoma-Hepatocellular, Digestive System ,HMOX1
Infection,Bacterial Infections and Mycoses,HMOX1
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,HMOX1
Multiple Sclerosis,Nervous System ; Immune System ,HMOX1
Anoxia,Pathological Conditions,HMOX1
Colonic Neoplasms, Digestive System ,HMOX1
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,HMOX1
Atherosclerosis,Cardiovascular ,HMOX1
Parkinson Disease,Nervous System ,HMOX1
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,HMOX1
Venous Thromboembolism,Cardiovascular ,HMOX1
Lymphohistiocytosis-Hemophagocytic,Hemic and Lymphatic ,HMOX1
Adenoma,Neoplasms,HMOX1
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,HMOX1
Reperfusion Injury,Cardiovascular ; Pathological Conditions,HMOX1
Osteoarthritis,Musculoskeletal ,HMOX1
Hypercholesterolemia,Nutritional and Metabolic ,HMOX1
Acute Coronary Syndrome,Cardiovascular ; Pathological Conditions,HMOX1
Hepatitis C,Virus ; Digestive System ,HMOX1
Idiopathic Pulmonary Fibrosis,Respiratory Tract ,HMOX1
Fatty Liver,Digestive System ,HMOX1
Stroke,Nervous System ; Cardiovascular ,HMOX1
Glomerulonephritis-IGA,Urogenital; Immune System ,HMOX1
Rhinitis,Respiratory Tract ; Otorhinolaryngologic ,HMOX1
Hypertension-Portal,Digestive System ,HMOX1
Fetal Growth Retardation,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,HMOX1
Liver Failure-Acute,Digestive System ,HMOX1
Airway Obstruction,Respiratory Tract ,HMOX1
Still's Disease-Adult-Onset,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,HMOX1
Delayed Graft Function,Pathological Conditions,HMOX1
Hypertension-Renovascular,Urogenital; Cardiovascular ,HMOX1
Varicocele,Male Urogenital ; Cardiovascular ,HMOX1
MATURITY-ONSET DIABETES OF THE YOUNG-TYPE 3,Nutritional and Metabolic ; Endocrine System ,HNF1A
DIABETES MELLITUS-INSULIN-DEPENDENT-20,Immune System ; Nutritional and Metabolic ; Endocrine System ,HNF1A
Carcinoma-Renal Cell, Urogenital,HNF1A
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,HNF1A
HEPATIC ADENOMAS-FAMILIAL, Digestive System ,HNF1A
Diabetic Nephropathies,Urogenital; Endocrine System ,HNF1A
Kidney Failure-Chronic,Urogenital,HNF1A
Glycosuria,Urogenital; Nutritional and Metabolic ,HNF1A
Proteinuria,Urogenital; Pathological Conditions,HNF1A
Albuminuria,Urogenital; Pathological Conditions,HNF1A
Insulin Resistance,Nutritional and Metabolic ,HNF1A
Adenoma,Neoplasms,HNF1A
Liver Neoplasms, Digestive System ,HNF1A
Neoplastic Syndromes-Hereditary, Congenital-Hereditary-and Neonatal  and Abnormalities,HNF1A
Glucose Intolerance,Nutritional and Metabolic ,HNF1A
Overweight,Pathological Conditions,HNF1A
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,HNF1A
Coronary Disease,Cardiovascular ,HNF1A
Coronary Artery Disease,Cardiovascular ,HNF1A
Dyslipidemias,Nutritional and Metabolic ,HNF1A
Syndrome,Pathological Conditions,HNF1A
Inflammation,Pathological Conditions,HNF1A
Metabolic Syndrome X,Nutritional and Metabolic ,HNF1A
Myocardial Infarction,Cardiovascular ,HNF1A
Stroke,Nervous System ; Cardiovascular ,HNF1A
GROWTH HORMONE INSENSITIVITY WITH IMMUNODEFICIENCY,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,HNF1A
PHENYLKETONURIA,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,HNF1A
Hepatitis B,Virus ; Digestive System ,HNF1A
Colorectal Neoplasms, Digestive System ,HNF1A
Neoplasms,Neoplasms,HNF1A
Thyroid Neoplasms, Endocrine System ,HNF1A
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,HNF1A
Colonic Neoplasms, Digestive System ,HNF1A
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,HNF1A
Atherosclerosis,Cardiovascular ,HNF1A
Lymphoma-T-Cell-Peripheral, Hemic and Lymphatic ; Immune System ,HNF1A
Adenoma-Liver Cell, Digestive System ,HNF1A
MATURITY-ONSET DIABETES OF THE YOUNG-TYPE 1,Nutritional and Metabolic ; Endocrine System ,HNF4A
Colitis-Ulcerative,Digestive System ,HNF4A
MATURITY-ONSET DIABETES OF THE YOUNG,Nutritional and Metabolic ; Endocrine System ,HNF4A
Glucose Intolerance,Nutritional and Metabolic ,HNF4A
Obesity,Nutritional and Metabolic ; Pathological Conditions,HNF4A
Disease Progression,Pathological Conditions,HNF4A
Insulin Resistance,Nutritional and Metabolic ,HNF4A
Metabolic Syndrome X,Nutritional and Metabolic ,HNF4A
Hyperlipidemias,Nutritional and Metabolic ,HNF4A
Fetal Macrosomia,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ; Pathological Conditions,HNF4A
Hyperinsulinism,Nutritional and Metabolic ,HNF4A
Persistent Hyperinsulinemia Hypoglycemia of Infancy,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,HNF4A
Hypoglycemia,Nutritional and Metabolic ,HNF4A
Dyslipidemias,Nutritional and Metabolic ,HNF4A
Syndrome,Pathological Conditions,HNF4A
Carcinoma,Neoplasms,HNF4A
Neoplasm Metastasis, Pathological Conditions,HNF4A
Hepatitis B,Virus ; Digestive System ,HNF4A
Neoplasms,Neoplasms,HNF4A
Adenocarcinoma,Neoplasms,HNF4A
Carcinoma-Hepatocellular, Digestive System ,HNF4A
Diabetic Nephropathies,Urogenital; Endocrine System ,HNF4A
ANHAPTOGLOBINEMIA,Unclassified,HP
Anemia,Hemic and Lymphatic ,HP
Anemia-Sickle Cell,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,HP
Arthritis,Musculoskeletal ,HP
Atherosclerosis,Cardiovascular ,HP
Autoimmune Diseases,Immune System ,HP
Breast Neoplasms, Skin and Connective Tissue ,HP
Cardiovascular Diseases,Cardiovascular ,HP
Diabetes Complications,Endocrine System ,HP
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,HP
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,HP
Dyslipidemias,Nutritional and Metabolic ,HP
Genital Neoplasms-Female, Female Urogenital,HP
Hemochromatosis,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,HP
Hepatitis B,Virus ; Digestive System ,HP
Hepatitis B-Chronic,Virus ; Digestive System ,HP
Hepatitis C-Chronic,Virus ; Digestive System ,HP
HIV Infections,Virus ; Immune System ,HP
Hypersensitivity,Immune System ,HP
Hypertension,Cardiovascular ,HP
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,HP
Leukemia,Neoplasms,HP
Malaria,Parasitic ,HP
Myocardial Infarction,Cardiovascular ,HP
Pasteurellaceae Infections,Bacterial Infections and Mycoses,HP
Retinal Detachment,Eye ,HP
Schizophrenia,Mental Disorders,HP
Tuberculosis,Bacterial Infections and Mycoses,HP
Coronary Restenosis,Cardiovascular ,HP
Coronary Disease,Cardiovascular ,HP
Epilepsy-Generalized,Nervous System ,HP
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,HP
Carcinoma-Hepatocellular, Digestive System ,HP
Liver Neoplasms, Digestive System ,HP
Diabetic Nephropathies,Urogenital; Endocrine System ,HP
Albuminuria,Urogenital; Pathological Conditions,HP
Parasitemia,Parasitic ; Pathological Conditions,HP
Sickle Cell Trait,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,HP
Proteinuria,Urogenital; Pathological Conditions,HP
Pre-Eclampsia,Female Urogenital,HP
Cholangitis-Sclerosing,Digestive System ,HP
Inflammatory Bowel Diseases,Digestive System ,HP
Crohn Disease,Digestive System ,HP
Disease Progression,Pathological Conditions,HP
Colitis-Ulcerative,Digestive System ,HP
Lung Neoplasms, Respiratory Tract ,HP
Neoplasm Metastasis, Pathological Conditions,HP
Pancreatic Neoplasms, Digestive System ; Endocrine System ,HP
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,HP
Endometriosis,Female Urogenital,HP
Parkinson Disease,Nervous System ,HP
Celiac Disease,Digestive System ; Nutritional and Metabolic ,HP
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,HP
Macular Degeneration,Eye ,HP
Osteoporosis-Postmenopausal,Musculoskeletal ,HP
Compartment Syndromes,Musculoskeletal ; Cardiovascular ,HPX
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,HPX
Recurrence,Pathological Conditions,HPX
Nephrotic Syndrome,Urogenital,HPX
Nephrosis-Lipoid,Urogenital,HPX
Insulin Resistance,Nutritional and Metabolic ,IGF2BP2
Glucose Metabolism Disorders,Nutritional and Metabolic ,IGF2BP2
Pancreatic Neoplasms, Digestive System ; Endocrine System ,IGF2BP2
Lymphoma, Hemic and Lymphatic ; Immune System ,IGF2BP2
Liposarcoma,Neoplasms,IGF2BP2
Acute Kidney Injury,Urogenital,IL6
Amnesia,Nervous System ; Pathological Conditions; Behavior and Behavior Mechanisms; Mental Disorders,IL6
Arthritis-Experimental,Musculoskeletal ,IL6
Arthritis-Juvenile Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IL6
Atherosclerosis,Cardiovascular ,IL6
Autistic Disorder,Mental Disorders,IL6
Berylliosis,Respiratory Tract ; Occupational ,IL6
Brain Injuries,Nervous System ; Wounds and Injuries,IL6
Breast Neoplasms, Skin and Connective Tissue ,IL6
Burns,Wounds and Injuries,IL6
Cachexia,Pathological Conditions,IL6
Carcinoma-Hepatocellular, Digestive System ,IL6
Cholangiocarcinoma,Neoplasms,IL6
Crohn Disease,Digestive System ,IL6
Depressive Disorder,Mental Disorders,IL6
Dermatitis-Atopic,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ; Immune System ,IL6
Drug-Induced Liver Injury,Digestive System ; Substance-Related Disorders,IL6
Entamoebiasis,Parasitic ,IL6
Fever,Pathological Conditions,IL6
Giant Lymph Node Hyperplasia,Hemic and Lymphatic ; Immune System ,IL6
Glomerulonephritis,Urogenital,IL6
Headache,Nervous System ; Pathological Conditions,IL6
Heart Failure,Cardiovascular ,IL6
Hemolytic-Uremic Syndrome,Urogenital; Hemic and Lymphatic ,IL6
Hernia-Hiatal,Pathological Conditions,IL6
